"","CHR","START","END","SRR5800657","SRR5800658","SRR5800659","SRR5800660","SRR5800661","SRR5800662"
"1","1",629741,630141,0,0,0,0,0,0
"2","1",630158,630558,0,0,0,4.46333472661041,3.23989623735128,5.44874865920943
"3","1",632791,633191,0,3.30037970672675,0,0,8.63972329960341,0
"4","1",633828,634228,0,0,0,0,0,0
"5","1",904527,904927,13.5959752010818,3.30037970672675,5.68376376535305,0,4.3198616498017,6.35687343574433
"6","1",906748,907148,16.0679706921876,23.1026579470872,14.2094094133826,0,10.7996541245043,0
"7","1",911139,911539,22.247959419952,16.5018985336337,24.6296429831966,2.23166736330521,8.63972329960341,16.3462459776283
"8","1",966181,966581,0,0,0,29.0116757229677,10.7996541245043,12.7137468714887
"9","1",976001,976401,38.3159301121396,29.7034173605407,9.47293960892176,18.9691725880942,6.47979247470255,38.141240614466
"10","1",1006444,1006844,23.4839571655049,28.0532275071774,11.3675275307061,16.737505224789,12.9595849494051,29.9681176256519
"11","1",1013237,1013637,9.88798196442313,23.1026579470872,0,21.2008399513994,17.2794465992068,34.5087415083264
"12","1",1064021,1064421,0,0,0,22.3166736330521,21.5993082490085,32.6924919552566
"13","1",1067761,1068161,16.0679706921876,0,0,30.1275094046203,33.4789277859632,39.9574901675358
"14","1",1070204,1070604,24.7199549110578,19.8022782403605,7.57835168713741,17.8533389064416,1.07996541245043,21.7949946368377
"15","1",1073690,1074090,0,0,0,0,0,0
"16","1",1079421,1079821,87.7558399342552,22.2775630204056,29.3661127876574,54.6758504009775,52.9183052100709,82.6393546646763
"17","1",1109707,1110107,0,0,1.89458792178435,8.92666945322082,16.1994811867564,18.1624955306981
"18","1",1264839,1265239,40.7879256032454,17.3269934603154,15.1567033742748,10.0425031348734,5.39982706225213,19.9787450837679
"19","1",1272415,1272815,6.17998872776445,12.3764239002253,8.52564564802958,3.34750104495781,0,17.2543707541632
"20","1",1282084,1282484,39.5519278576925,20.6273731670422,34.1025825921183,6.69500208991562,17.2794465992068,15.4381212010934
"21","1",1347881,1348281,13.5959752010818,12.3764239002253,4.73646980446088,31.2433430862729,14.0395503618555,23.6112441899075
"22","1",1360544,1360944,34.6079368754809,20.6273731670422,22.7350550614122,30.1275094046203,21.5993082490085,34.5087415083264
"23","1",1399264,1399664,21.0119616743991,0,0,25.6641746780099,30.2390315486119,54.4874865920943
"24","1",1433201,1433601,12.3599774555289,4.95056956009012,2.84188188267653,8.92666945322082,3.23989623735128,17.2543707541632
"25","1",1758828,1759228,27.1919504021636,27.2281325804957,0,0,0,0
"26","1",1782954,1783354,19.7759639288463,16.5018985336337,16.103997335167,0,0,0
"27","1",2135429,2135829,16.0679706921876,28.8783224338591,29.3661127876574,41.2858462211463,46.4385127353683,43.5899892736754
"28","1",2140050,2140450,0,6.6007594134535,0,2.23166736330521,0,0
"29","1",2189481,2189881,23.4839571655049,21.4524680937239,13.2621154524905,0,0,2.72437432960471
"30","1",2212575,2212975,0,0,0,32.3591767679255,24.8392044863598,15.4381212010934
"31","1",2255772,2256172,16.0679706921876,12.3764239002253,22.7350550614122,0,0,0
"32","1",2290636,2291036,6.17998872776445,0,0,0,0,0
"33","1",3504129,3504529,33.3719391299281,18.9771833136788,0,16.737505224789,0,0
"34","1",3543322,3543722,0,0,0,51.3283493560197,50.75837438517,45.4062388267452
"35","1",6220270,6220670,3.70799323665867,8.25094926681687,1.89458792178435,0,0,0
"36","1",7954041,7954441,0,0,0,0,0,0
"37","1",7961358,7961758,0,0,0,0,0,0
"38","1",8005079,8005479,0,0,0,3.34750104495781,17.2794465992068,28.1518680725821
"39","1",8020025,8020425,16.0679706921876,8.25094926681687,6.63105772624523,17.8533389064416,3.23989623735128,9.08124776534905
"40","1",8078170,8078570,13.5959752010818,9.07604419349856,8.52564564802958,0,3.23989623735128,0
"41","1",8097393,8097793,19.7759639288463,12.3764239002253,8.52564564802958,15.6216715431364,0,0
"42","1",8182262,8182662,0,0,0,34.5908441312307,42.1186510855666,40.8656149440707
"43","1",8218667,8219067,11.123979709976,13.201518826907,13.2621154524905,0,0,0
"44","1",8257561,8257961,29.6639458932694,6.6007594134535,0.947293960892176,0,0,0
"45","1",8396978,8397378,0,0,0,10.0425031348734,16.1994811867564,9.98937254188395
"46","1",8525586,8525986,22.247959419952,16.5018985336337,9.47293960892176,0,1.07996541245043,6.35687343574433
"47","1",8626457,8626857,22.247959419952,0,5.68376376535305,5.57916840826301,16.1994811867564,26.3356185195122
"48","1",8858070,8858470,16.0679706921876,10.7262340468619,9.47293960892176,7.81083577156822,8.63972329960341,11.8056220949538
"49","1",8899882,8900282,24.7199549110578,14.0266137535887,4.73646980446088,0,0,2.72437432960471
"50","1",9180211,9180611,3.70799323665867,12.3764239002253,5.68376376535305,21.2008399513994,21.5993082490085,17.2543707541632
"51","1",9280358,9280758,14.8319729466347,14.0266137535887,17.9985852569513,0,11.8796195369547,5.44874865920943
"52","1",9303062,9303462,22.247959419952,18.1520883869971,26.5242309049809,11.158336816526,12.9595849494051,2.72437432960471
"53","1",9699326,9699726,6.17998872776445,9.07604419349856,15.1567033742748,0,0,0
"54","1",9700331,9700731,44.4959188399041,11.5513289735436,14.2094094133826,5.57916840826301,10.7996541245043,12.7137468714887
"55","1",9766778,9767178,25.9559526566107,27.2281325804957,0,1.1158336816526,3.23989623735128,0
"56","1",9825542,9825942,14.8319729466347,4.12547463340844,0,0,2.15993082490085,0
"57","1",9898915,9899315,16.0679706921876,9.90113912018025,3.7891758435687,3.34750104495781,4.3198616498017,5.44874865920943
"58","1",10210240,10210640,1.23599774555289,0,0,0,2.15993082490085,15.4381212010934
